Sample Time (s),BDE0600G Temp (degrees C),ML8511 UV Sensor (mW/cm2),BU52011HFV South Detect (0 = mag present; 1 = no Mag field),BU52011HFV North Detect (0 = mag present; 1 = no Mag field),KMX62 Accel Xout (g),KMX62 Accel Yout (g),KMX62 Accel Zout (g),KMX62 Mag Xout (uT),KMX62 Mag Yout (uT),KMX62 Mag Zout (uT),BM1383A Temp (degrees C),BM1383A Pressure (hPa),BM1383 Temp (degrees C),BM1383 Pressure (hPa),RPR-0521 Proximity (ADC Count),RPR-0521 Ambient Light Sensor (Lx),BH1745 Color RED (ADC Count),BH1745 Color GREEN (ADC Count),BH1745 Color BLUE (ADC Count),KX122 Accel Xout (g),KX122 Accel Yout (g),KX122 Accel Zout (g),KXG03 Gyro X (deg/sec),KXG03 Gyro Y (deg/sec),KXG03 Gyro Z (deg/sec),BM1422 Mag Xout (uT),BM1422 Mag Yout (uT),BM1422 Mag Zout (uT),
0.00,-64.56,4.74,1,1,0.03,0.02,1.02,32.52,2316.32,2389.75,1385.63,26.48,26.47,925.41,27,40.69,577,747,120,0.00,0.02,1.01,0,0,0,-26.46,-36.58,-106.89,
2.00,-42.43,4.78,1,1,0.03,0.02,1.02,32.34,2316.36,2389.78,1381.38,26.51,26.50,925.40,29,37.32,496,699,108,0.00,0.02,1.01,0.54,-0.49,0.20,-26.71,-36.92,-107.35,
4.00,-41.51,4.74,1,1,0.03,0.03,1.02,32.56,2316.36,2390.00,1384.63,26.54,26.53,925.41,36,30.98,435,703,114,0.00,0.02,1.01,0.02,-0.17,0.09,-26.88,-37.09,-106.72,
6.00,-41.51,4.74,1,1,0.02,0.02,1.01,32.85,2315.95,2389.56,1376.63,26.58,26.56,925.38,40,25.94,415,609,94,0.00,0.02,1.01,0.15,0.13,0.17,-26.50,-36.83,-107.39,
8.00,-42.89,4.78,1,1,0.02,0.02,1.01,32.96,2316.58,2389.27,1388.25,26.58,26.56,925.42,47,26.13,408,566,101,0.00,0.02,1.02,0.16,-0.16,0.02,-26.54,-36.33,-107.65,
10.00,-42.43,4.74,1,1,0.03,0.03,1.02,33.11,2317.42,2389.09,1379.63,26.58,26.56,925.39,45,27.62,372,594,92,0.00,0.02,1.01,0.43,-0.34,0.35,-25.96,-37.00,-105.25,
12.00,-41.97,4.74,1,1,0.02,0.02,1.01,33.00,2317.02,2389.20,1380.88,26.61,26.59,925.39,43,29.30,393,576,100,4.00,0.02,1.01,0.16,-0.12,-0.04,-26.75,-36.12,-106.97,
14.00,-41.97,4.74,1,1,0.03,0.02,1.01,32.96,2317.42,2389.20,1382.38,26.64,26.62,925.40,34,35.83,429,677,122,0.00,0.02,1.01,0.21,-0.35,0.11,-26.75,-36.33,-106.72,
16.00,-42.43,4.74,1,1,0.03,0.02,1.01,33.07,2317.53,2390.26,1384.63,26.64,26.62,925.41,7,102.46,1466,1983,324,0.00,0.02,1.01,0.13,-0.13,0.23,-26.80,-36.62,-106.51,
18.00,-41.51,4.74,1,1,0.02,0.02,1.01,32.08,2316.87,2389.31,1379.75,26.61,26.59,925.39,10,115.33,1465,1985,325,0.00,0.02,1.01,0.13,-0.01,0.10,-26.75,-36.62,-106.55,
20.00,-41.51,4.74,1,1,0.02,0.02,1.01,32.81,2317.09,2389.42,1386.75,26.61,26.59,925.42,10,115.52,1617,2001,383,0.00,0.02,1.02,0.07,-0.08,0.28,-26.54,-36.71,-106.34,
22.00,-42.43,4.74,1,1,0.03,0.02,1.02,32.78,2317.38,2389.93,1378.63,26.61,26.59,925.39,11,100.58,1501,2201,367,0.00,0.02,1.01,0.09,-0.10,0.20,-26.54,-36.62,-106.55,
24.00,-41.51,4.74,1,1,0.03,0.02,1.01,32.67,2317.46,2389.56,1379.63,26.61,26.59,925.39,9,112.16,1468,2003,327,0.00,0.02,1.01,0.06,-0.09,0.30,-26.75,-36.41,-106.51,
26.00,-41.97,4.74,1,1,0.03,0.02,1.01,33.07,2317.38,2389.64,1380.50,26.61,26.59,925.39,10,113.64,1558,1908,322,0.00,0.02,1.01,0.10,0.02,0.13,-26.71,-36.41,-106.51,
28.00,-42.43,4.74,1,1,0.02,0.02,1.01,32.92,2316.98,2389.27,1386.00,26.61,26.59,925.41,12,102.46,1500,2108,345,0.00,0.02,1.01,0.06,-0.13,0.20,-26.54,-36.58,-106.72,
30.00,-41.97,4.74,1,1,0.03,0.02,1.01,33.03,2316.87,2389.16,1379.38,26.64,26.62,925.39,10,107.11,1523,2089,340,0.00,0.02,1.01,0.20,-0.05,-0.15,-26.50,-36.41,-106.34,
32.00,-42.89,4.74,1,1,0.03,0.02,1.01,32.41,2317.05,2388.65,1391.88,26.64,26.62,925.44,10,115.33,1556,2057,333,0.00,0.02,1.01,0.04,-0.02,-0.03,-26.71,-36.75,-106.55,
34.00,-42.43,4.74,1,1,0.03,0.02,1.01,32.74,2317.27,2389.86,1379.75,26.61,26.59,925.39,10,113.64,1671,2030,348,0.00,0.02,1.01,0.19,0.10,0.09,-26.75,-36.41,-106.64,
36.00,-42.43,4.74,1,1,0.02,0.03,1.01,32.78,2316.58,2389.12,1374.00,26.61,26.59,925.37,10,108.79,1665,2269,411,0.00,0.02,1.01,-0.02,0.03,0.21,-26.75,-36.37,-106.60,
38.00,-41.51,4.74,1,1,0.04,0.02,1.01,32.30,2316.98,2388.98,1383.00,26.61,26.59,925.40,11,107.11,1606,2151,352,0.00,0.02,1.01,0.17,0.18,0.01,-26.75,-36.54,-106.47,
40.00,-42.43,4.74,1,1,0.02,0.02,1.01,32.56,2317.05,2389.75,1380.75,26.61,26.59,925.39,10,115.33,1562,2063,335,0.00,0.02,1.01,0.21,0.15,0.20,-26.67,-36.37,-106.55,
42.00,-41.97,4.74,1,1,0.02,0.02,1.01,32.78,2316.80,2389.60,1382.63,26.61,26.59,925.40,10,120.18,1704,2200,416,0.00,0.02,1.01,0.20,0.05,0.07,-26.80,-36.46,-106.72,
44.00,-41.51,4.74,1,1,7.98,0.02,1.01,32.30,2316.83,2389.49,1372.38,26.61,26.59,925.36,8,102.46,1516,2339,417,4.00,0.02,1.02,0.20,0.30,0.09,-26.71,-36.58,-106.51,
46.00,-42.43,4.74,1,1,0.02,0.02,1.01,32.70,2317.24,2389.56,1378.88,26.61,26.59,925.39,11,110.48,1512,2330,408,0.00,0.02,1.01,0.05,0.02,0.06,-26.80,-36.54,-106.43,
48.00,-41.97,4.74,1,1,0.03,0.03,1.01,32.56,2316.91,2389.05,1385.75,26.61,26.59,925.41,10,120.37,1513,2021,329,0.00,0.02,1.01,0.08,-0.12,-0.02,-26.75,-36.50,-106.60,
50.00,-41.97,4.74,1,1,0.02,0.02,1.01,32.37,2316.80,2389.75,1386.25,26.61,26.59,925.42,9,105.62,1539,2013,405,0.00,0.02,1.01,0.21,0.04,0.12,-26.80,-36.37,-106.55,
52.00,-42.43,4.78,1,1,0.04,0.03,1.02,33.03,2317.53,2389.86,1388.63,26.64,26.62,925.42,12,103.94,1536,2171,421,0.01,0.02,1.01,0.17,0.11,-0.07,-26.59,-36.37,-106.30,
54.00,-41.97,4.74,1,1,0.02,0.01,1.01,32.59,2317.09,2389.82,1375.63,26.64,26.62,925.37,11,118.69,1514,2089,341,0.00,0.01,1.01,0.30,-0.09,0.33,-26.67,-36.50,-106.76,
56.00,-41.51,4.74,1,1,0.02,0.02,1.01,32.70,2317.05,2389.45,1386.25,26.64,26.62,925.42,10,120.18,1521,2078,339,0.00,0.02,1.01,0.17,0.17,0.16,-26.75,-36.71,-106.60,
58.00,-42.43,4.78,1,1,0.02,0.02,1.01,32.48,2316.80,2389.09,1382.38,26.61,26.59,925.40,9,113.64,1588,2074,338,0.00,0.02,1.01,0.00,0.00,-0.05,-26.71,-36.54,-106.89,
60.00,-41.97,4.74,1,1,0.02,0.02,1.01,32.78,2317.20,2389.60,1391.88,26.64,26.62,925.44,11,105.62,1687,2151,418,0.00,0.02,1.01,0.04,0.08,0.20,-26.67,-36.75,-106.76,
62.00,-41.51,4.74,1,1,0.02,0.02,1.01,32.74,2317.09,2389.67,1376.88,26.61,26.59,925.38,10,113.64,1669,2155,412,0.00,0.02,1.01,0.16,-0.04,0.25,-26.67,-36.50,-106.43,
64.00,-42.43,4.74,1,1,0.02,0.01,1.01,32.41,2316.76,2388.90,1385.50,26.64,26.62,925.41,10,120.37,1508,2255,416,0.00,0.01,1.01,0.25,0.16,0.26,-26.54,-36.54,-106.68,
66.00,-41.97,4.78,1,1,0.02,0.02,1.01,33.03,2317.24,2389.60,1388.50,26.61,26.59,925.42,8,105.62,1509,2061,335,0.00,0.02,1.01,0.11,-0.13,-0.04,-26.75,-36.54,-106.60,
68.00,-42.89,4.74,1,1,0.02,0.02,1.01,32.81,2317.09,2389.56,1383.50,26.61,26.59,925.40,11,104.14,1574,2002,354,0.00,0.02,1.01,-0.14,-0.05,0.23,-26.67,-36.37,-106.93,
70.00,-42.43,4.78,1,1,0.02,0.02,1.01,32.70,2316.94,2389.01,1387.63,26.61,26.59,925.42,11,120.37,1590,2001,395,0.00,0.02,1.01,0.39,-0.29,0.18,-26.71,-36.50,-106.47,
72.00,-41.97,4.74,1,1,0.02,0.02,1.01,32.52,2317.02,2389.23,1384.00,26.61,26.59,925.41,10,112.16,1518,1998,403,0.00,0.02,1.01,0.18,-0.09,0.38,-26.80,-36.46,-106.55,
74.00,-41.51,4.74,1,1,0.02,0.02,1.01,33.14,2317.46,2389.75,1384.13,26.64,26.62,925.41,6,102.46,1471,2104,346,0.00,0.02,1.01,0.13,-0.29,0.16,-26.71,-36.50,-106.64,
76.00,-42.43,4.74,1,1,0.02,0.02,1.01,32.56,2317.02,2389.64,1388.63,26.61,26.59,925.42,10,113.84,1465,1897,310,0.00,0.02,1.01,0.09,-0.13,0.15,-26.88,-36.46,-106.89,
78.00,-41.51,4.74,1,1,0.03,0.02,1.01,33.07,2317.35,2389.93,1385.50,26.64,26.62,925.41,10,112.16,1481,1948,395,0.00,0.02,1.01,0.04,-0.09,0.30,-26.71,-36.46,-106.34,
80.00,-42.43,4.74,1,1,0.02,0.02,1.01,32.45,2316.76,2389.16,1391.13,26.64,26.62,925.43,10,100.77,1514,1945,318,0.00,0.02,1.01,0.09,0.07,-0.03,-26.67,-36.50,-106.85,
82.00,-42.43,4.74,1,1,0.03,0.02,1.01,33.18,2317.75,2389.97,1383.13,26.64,26.62,925.40,11,120.37,1473,1946,396,0.00,0.02,1.01,0.13,-0.13,0.16,-26.80,-36.54,-106.47,
84.00,-41.97,4.74,1,1,0.02,0.02,1.01,33.47,2317.42,2390.19,1388.50,26.61,26.59,925.42,10,112.16,1466,2260,392,0.00,0.02,1.01,0.23,0.02,0.16,-26.67,-36.50,-106.89,
86.00,-41.97,4.78,1,1,0.02,0.02,1.01,32.85,2317.09,2389.75,1379.88,26.61,26.59,925.39,12,103.94,1481,1993,326,0.00,0.02,1.02,0.12,-0.03,-0.04,-26.67,-36.46,-106.55,
88.00,-41.97,4.74,1,1,0.02,0.02,1.01,32.89,2317.35,2389.53,1382.25,26.61,26.59,925.40,9,113.84,1639,1980,347,0.00,0.02,1.01,0.16,0.07,0.16,-26.67,-36.46,-106.64,
90.00,-41.97,4.78,1,1,0.02,0.02,1.01,33.14,2317.38,2389.71,1384.38,26.61,26.59,925.41,10,118.69,1586,1966,381,0.00,0.02,1.01,0.20,-0.13,0.21,-26.84,-36.58,-106.64,
92.00,-42.43,4.74,1,1,0.02,0.02,1.01,32.37,2317.09,2389.01,1386.50,26.61,26.59,925.42,6,100.77,1450,2033,331,0.00,0.02,1.01,-0.02,-0.26,0.08,-26.80,-36.75,-106.76,
94.00,-42.43,4.74,1,1,0.02,0.02,1.01,32.89,2317.64,2390.19,1385.38,26.64,26.62,925.41,9,87.71,1305,1746,282,0.00,0.02,1.01,0.10,0.10,0.20,-26.67,-36.71,-106.64,
96.00,-41.97,4.74,1,1,0.03,0.02,1.02,32.70,2317.13,2389.12,1397.13,26.64,26.62,925.46,10,92.75,1408,1773,291,0.00,0.02,1.01,-0.13,0.06,0.39,-26.67,-36.50,-106.60,
98.00,-42.43,4.74,1,1,8.00,0.03,1.01,32.81,2317.53,2389.97,1386.25,26.64,26.62,925.42,10,89.39,1315,1910,332,4.00,0.02,1.03,0.23,-0.43,0.13,-26.59,-36.41,-106.18,
100.00,-42.89,4.74,1,1,0.02,0.02,1.01,32.78,2317.27,2389.78,1389.88,26.64,26.62,925.43,11,95.92,1335,1836,296,0.00,0.02,1.01,0.06,0.27,0.18,-26.50,-36.50,-106.51,
102.00,-42.43,4.78,1,1,0.02,0.02,1.01,32.67,2316.91,2389.09,1375.00,26.64,26.62,925.37,10,110.48,1503,1852,359,0.00,0.02,1.01,-0.02,-0.03,0.05,-26.71,-36.54,-106.76,
104.00,-42.89,4.74,1,1,0.03,0.02,1.01,32.96,2317.13,2389.49,1384.00,26.64,26.62,925.41,10,121.86,1570,2284,379,0.00,0.02,1.01,-0.05,0.02,0.04,-26.59,-36.33,-106.89,
106.00,-42.89,4.74,1,1,0.02,0.02,1.01,32.59,2317.16,2389.20,1387.38,26.61,26.59,925.42,11,121.86,1675,2368,411,0.00,0.02,1.01,-0.10,0.15,0.05,-26.67,-36.41,-106.76,
108.00,-41.97,4.74,1,1,0.02,0.02,1.01,33.03,2317.64,2389.82,1389.75,26.64,26.62,925.43,9,113.84,1523,2348,405,0.00,0.02,1.01,0.12,-0.14,-0.07,-26.75,-36.41,-106.51,
110.00,-42.43,4.78,1,1,0.03,0.02,1.01,33.33,2317.93,2390.11,1396.75,26.64,26.62,925.46,10,112.16,1613,2068,338,0.00,0.02,1.01,-0.08,0.10,0.01,-26.54,-36.46,-106.76,

